"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Total","Currency: U.S. dollars","2020",2284.392,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Native-born","Currency: U.S. dollars","2020",2284.392,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Foreign-born","Currency: U.S. dollars","2020",2170.173,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Status unknown","Currency: U.S. dollars","2020",2055.953,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Total","Currency: U.S. dollars","2020",2055.953,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Native-born","Currency: U.S. dollars","2020",2055.953,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Foreign-born","Currency: U.S. dollars","2020",1941.733,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Status unknown","Currency: U.S. dollars","2020",2055.953,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Total","Currency: U.S. dollars","2018",2125.718,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Native-born","Currency: U.S. dollars","2018",2125.718,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Foreign-born","Currency: U.S. dollars","2018",2007.623,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Status unknown","Currency: U.S. dollars","2018",2125.718,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Total","Currency: U.S. dollars","2018",2243.814,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Native-born","Currency: U.S. dollars","2018",2302.861,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Foreign-born","Currency: U.S. dollars","2018",2125.718,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Status unknown","Currency: U.S. dollars","2018",2125.718,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Total","Currency: U.S. dollars","2018",2007.623,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Native-born","Currency: U.S. dollars","2018",2007.623,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Foreign-born","Currency: U.S. dollars","2018",1771.432,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Status unknown","Currency: U.S. dollars","2018",1269.526,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Total","Currency: U.S. dollars","2017",165.687,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Native-born","Currency: U.S. dollars","2017",169.452,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Foreign-born","Currency: U.S. dollars","2017",152.507,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Status unknown","Currency: U.S. dollars","2017",141.21,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Total","Currency: U.S. dollars","2017",174.159,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Native-born","Currency: U.S. dollars","2017",178.866,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Foreign-born","Currency: U.S. dollars","2017",169.452,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Status unknown","Currency: U.S. dollars","2017",112.968,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Total","Currency: U.S. dollars","2017",155.331,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Native-born","Currency: U.S. dollars","2017",160.038,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Foreign-born","Currency: U.S. dollars","2017",141.21,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Belgium","LFS - EU Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Status unknown","Currency: U.S. dollars","2017",141.21,,"Central tendency measure: Median | Accounting concept: Net | Job coverage: Main job currently held | Currency: BEL - Euro (EUR)","Population coverage: Excluding armed forces and/or conscripts"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Total","Currency: U.S. dollars","2023",827.942,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Native-born","Currency: U.S. dollars","2023",826.96,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Foreign-born","Currency: U.S. dollars","2023",908.688,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Total","Currency: U.S. dollars","2023",869.296,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Native-born","Currency: U.S. dollars","2023",868.219,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Foreign-born","Currency: U.S. dollars","2023",962.043,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Total","Currency: U.S. dollars","2023",762.232,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Native-born","Currency: U.S. dollars","2023",761.307,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Foreign-born","Currency: U.S. dollars","2023",833.116,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Total","Currency: U.S. dollars","2022",730.003,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Native-born","Currency: U.S. dollars","2022",730.471,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Foreign-born","Currency: U.S. dollars","2022",693.303,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Total","Currency: U.S. dollars","2022",765.919,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Native-born","Currency: U.S. dollars","2022",766.73,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Foreign-born","Currency: U.S. dollars","2022",683.309,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Total","Currency: U.S. dollars","2022",671.248,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Native-born","Currency: U.S. dollars","2022",670.697,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Foreign-born","Currency: U.S. dollars","2022",702.457,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Total","Currency: U.S. dollars","2021",775.692,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Native-born","Currency: U.S. dollars","2021",777.497,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Foreign-born","Currency: U.S. dollars","2021",658.279,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Total","Currency: U.S. dollars","2021",813.666,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Native-born","Currency: U.S. dollars","2021",814.743,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Foreign-born","Currency: U.S. dollars","2021",725.537,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Total","Currency: U.S. dollars","2021",713.988,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Native-born","Currency: U.S. dollars","2021",716.479,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Foreign-born","Currency: U.S. dollars","2021",592.745,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Total","Currency: U.S. dollars","2020",719.517,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Native-born","Currency: U.S. dollars","2020",721.287,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Foreign-born","Currency: U.S. dollars","2020",610.972,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Total","Currency: U.S. dollars","2020",762.852,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Native-born","Currency: U.S. dollars","2020",764.126,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Foreign-born","Currency: U.S. dollars","2020",666.928,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Total","Currency: U.S. dollars","2020",648.084,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Native-born","Currency: U.S. dollars","2020",650.058,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Foreign-born","Currency: U.S. dollars","2020",556.635,"Break in series","Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Total","Currency: U.S. dollars","2016",420.041,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Native-born","Currency: U.S. dollars","2016",420.139,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Foreign-born","Currency: U.S. dollars","2016",415.442,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Total","Currency: U.S. dollars","2016",440.273,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Native-born","Currency: U.S. dollars","2016",440.92,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Foreign-born","Currency: U.S. dollars","2016",406.475,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Total","Currency: U.S. dollars","2016",385.564,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Native-born","Currency: U.S. dollars","2016",384.511,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Foreign-born","Currency: U.S. dollars","2016",427.042,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Total","Currency: U.S. dollars","2015",418.186,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Native-born","Currency: U.S. dollars","2015",417.984,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Total","Place of birth: Foreign-born","Currency: U.S. dollars","2015",425.952,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Total","Currency: U.S. dollars","2015",437.366,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Native-born","Currency: U.S. dollars","2015",437.215,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Male","Place of birth: Foreign-born","Currency: U.S. dollars","2015",443.406,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Total","Currency: U.S. dollars","2015",387.348,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Native-born","Currency: U.S. dollars","2015",386.979,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and place of birth","Sex: Female","Place of birth: Foreign-born","Currency: U.S. dollars","2015",400.64,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
